Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Graceland,Paul Simon,Graceland (25th Anniversary Deluxe Edition),1986-08-12,60.0,291200.0,1
Where The Streets Have No Name - Remastered,U2,The Joshua Tree (Super Deluxe),1987-03-03,66.0,337505.0,1
Somewhere out There's Jupiter and Mars,The Nannas and The Poppas,And Here We Go!,2021-08-09,1.0,121910.0,1
Jody Watley,nan,,,,,1
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,1987-06-02,79.0,291293.0,1
"Bring On The Night / When The World Is Running Down You Make The Best Of What's (Still Around) - Live In Paris, 1985",Sting,Bring On The Night (Live),1986,33.0,701333.0,1
(I've Had) The Time Of My Life,Jennifer Warnes,,,,,1
Minute By Minute,Larry Carlton,Discovery,1986,33.0,297266.0,1
Yusef Lateef's Little Symphony,Yusef Lateef,,,,,1
Tunnel of Love,Bruce Springsteen,Tunnel Of Love,1987-10-09,47.0,309760.0,1
Where The Streets Have No Name - Remastered,U2,The Joshua Tree (Super Deluxe),1987-03-03,66.0,337505.0,1
Jazz From Hell,Frank Zappa,Jazz From Hell,1986-11-15,16.0,180426.0,1
Rolling In the Deep (The Aretha Version),Aretha Franklin,Aretha Franklin Sings The Great Diva Classics,2014-10-17,45.0,240306.0,1
Just To See Her,Smokey Robinson,One Heartbeat,1987-01-01,52.0,244026.0,1
I Knew You Were Waiting (For Me),Aretha Franklin,ARETHA,2021-07-30,60.0,240120.0,1
Chicago Song,David Sanborn,A Change of Heart,1987-01-15,29.0,388516.0,1
Lean on Me,Nancy Veldman,Redemption Road,2014-11-04,0.0,312906.0,1
Still Life (Talking),Pat Metheny Group,,,,,1
Diane Schuur & The Count Basie Orchestra,Diane Schuur,,,,,1
What Is This Thing Called Love,Bobby McFerrin,,,,,1
The Other Side Of Round Midnight,nan,,,,,1
Marsalis Standard Time - Volume I,Wynton Marsalis,,,,,1
Digital Duke,Mercer Ellington,,,,,1
80's Ladies,K.T. Oslin,,,,,1
Karaoke - I Won't Need You Anymore (Always And Forever),Karaoke - Randy Travis,Karaoke - Contemporary Male Country - Vol.12,2005-03-01,0.0,193886.0,1
Trio,Dolly Parton,,,,,1
"Make No Mistake, She's Mine",Ronnie Milsap,Heart And Soul,1987-06-01,35.0,237266.0,1
String of Pars,Asleep At The Wheel,10,1987-05-12,2.0,187693.0,1
"Forever And Ever, Amen",nan,,,,,1
I Believe In You,Deniece Williams,Water Under The Bridge,1987-03-19,1.0,268666.0,1
The Father Hath Provided,Larnelle Harris,,,,,1
Crack The Sky,Mylon LeFevre,Crack The Sky,1987-05-26,20.0,238093.0,1
For Always,Bebe & Cece Winans,Bebe & Cece Winans,1987-01-01,20.0,244200.0,1
Everything's Gonna Be Alright,Al Green,Testify: The Best Of The A&M Years,2001-01-01,25.0,261333.0,1
Ain't No Need To Worry,Anita Baker,,,,,1
Un Hombre Solo,Julio Iglesias,,,,,1
La Verdad - The Truth,Eddie Palmieri,,,,,1
Gracias! America Sin Fronteras,Los Tigres Del Norte,,,,,1
Houseparty New Orleans Style,Professor Longhair,,,,,1
Strong Persuader,nan,,,,,1
Shaka Zulu,Ladysmith Black Mambazo,,,,,1
Unfinished Business,Steve Goodman,,,,,1
All My Polka Friends,Jimmy Sturr and his Orchestra,Please Have Them Play a Polka Just for Me,1986-04-13,0.0,97130.0,1
No Nuclear War - 2002 Remaster,Peter Tosh,No Nuclear War,1987-09-21,17.0,481320.0,1
The Elephant's Child,Bobby McFerrin,,,,,1
A Night At The Met,Robin Williams,,,,,1
The Lake Wobegon Hymn,Garrison Keillor,Lake Wobegon Loyalty Days,1992-09-12,4.0,331733.0,1
Les Miserables,nan,,,,,1
Call Sheet Blues,nan,,,,,1
The Untouchables,nan,,,,,1
"Somewhere Out There (From ""An American Tail"")",James Horner,James Horner - The Classics,2018-08-10,22.0,253493.0,1
The Prince's Trust All-Star Rock Concert,nan,,,,,1
Land of Confusion - 2007 Remaster,Genesis,Invisible Touch,1986-06-09,51.0,285666.0,1
"Take The \""A\"" Train",nan,,,,,1
Deedles' Blues,nan,,,,,1
King's Record Shop,nan,,,,,1
Thelonious Monk - The Complete Riverside Recordings,nan,,,,,1
Thelonious Monk - The Complete Riverside Recordings,nan,,,,,1
Badna Nwalee El Jaw,Nancy Ajram,Badna Nwalee El Jaw,2018-09-07,51.0,213322.0,1
Narada Michael Walden,nan,,,,,1
Horowitz In Moscow,nan,,,,,1
Beethoven: Symphony No. 9 In D Minor,nan,,,,,1
R. Strauss: Ariadne Auf Naxos,nan,,,,,1
Hindemith: When Lilacs Last In The Dooryard Bloom'd,nan,,,,,1
Mozart: Violin Concertos Nos. 2 And 4,nan,,,,,1
Horowitz In Moscow,nan,,,,,1
Beethoven: The Complete Piano Trios,nan,,,,,1
Kathleen Battle - Salzburg Recital,nan,,,,,1
Penderecki: Cello Concerto No. 2,nan,,,,,1
Faure: Requiem/Durufle: Requiem,nan,,,,,1
Robert Woods,nan,,,,,1
Luka (Single),Suzanne Vega,,,,,0
La Bamba,Los Lobos,La Bamba / Charlena,1987-06-20,65.0,174186.0,0
I Still Haven't Found What I'm Looking For,U2,U218 Singles,2006-01-01,33.0,277333.0,0
Back In The High Life Again (Single),Steve Winwood,,,,,0
Whitney (Album),Whitney Houston,,,,,0
Trio (Album),Dolly Parton,,,,,0
Sign 'O' The Times (Album),Prince,,,,,0
Bad (Album),Michael Jackson,,,,,0
