Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won,Is pop,Is rock,Is funk,Is country,Is hip hop,Is r&b,Is rap,Is folk
About Damn Time,Lizzo,About Damn Time,2022-04-14,81.0,191822.0,1,1,0,0,0,0,0,0,0
JUST LIKE THAT,subhash nandu,JUST LIKE THAT,2023-01-01,5.0,104260.0,1,0,0,0,0,0,0,0,0
Easy On Me,Adele,Easy On Me,2021-10-14,81.0,224694.0,1,1,0,0,0,0,0,0,0
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),2022-09-22,92.0,156943.0,1,1,0,0,0,0,0,0,0
Higher,Michael Bublé,Higher,2022-03-10,55.0,185388.0,1,0,0,0,0,0,0,0,0
BREAK MY SOUL,Beyoncé,RENAISSANCE,2022-07-29,75.0,278281.0,1,1,0,0,0,0,1,0,0
SUMMER RENAISSANCE,Beyoncé,RENAISSANCE,2022-07-29,70.0,273997.0,1,1,0,0,0,0,1,0,0
Broken Horses,Brandi Carlile,In These Silent Days,2021-10-01,51.0,303593.0,1,0,0,0,0,0,0,0,1
Degradation Rules (feat. Tony Iommi),Ozzy Osbourne,Degradation Rules (feat. Tony Iommi),2022-07-22,47.0,250274.0,1,0,1,0,0,0,0,0,0
Patient Number 9 (feat. Jeff Beck),Ozzy Osbourne,Patient Number 9,2022-09-09,57.0,441402.0,1,0,1,0,0,0,0,0,0
Chaise Longue,Wet Leg,Wet Leg,2022-04-08,64.0,196905.0,1,0,0,0,0,0,0,0,0
Wet Dream,Wet Leg,Wet Leg,2022-04-08,69.0,140080.0,1,0,0,0,0,0,0,0,0
Hrs & Hrs,Muni Long,Public Displays Of Affection: The Album,2022-09-23,73.0,204316.0,1,1,0,0,0,0,1,1,0
PLASTIC OFF THE SOFA,Beyoncé,RENAISSANCE,2022-07-29,70.0,254319.0,1,1,0,0,0,0,1,0,0
Black Superhero [Feat. Killer Mike & BJ The Chicago Kid & Big K.R.I.T.],Robert Glasper,Black Radio III,2022-02-25,38.0,355720.0,1,0,0,0,0,1,0,1,0
The Heart Part 5,Kendrick Lamar,The Heart Part 5,2022-05-08,63.0,332228.0,1,0,0,0,0,1,0,1,0
WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,2022-04-29,83.0,189893.0,1,0,0,0,0,0,0,1,0
Mr. Morale,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,66.0,210841.0,1,0,0,0,0,1,0,1,0
Live Forever,Willie Nelson,Live Forever,2022-08-16,44.0,180135.0,1,0,0,0,1,0,0,0,0
Never Wanted To Be That Girl,Carly Pearce,29: Written In Stone,2021-09-17,54.0,214416.0,1,0,0,0,1,0,0,0,0
A Beautiful Time,Willie Nelson,A Beautiful Time,2022-04-29,33.0,295720.0,1,0,0,0,1,0,0,0,0
Endangered Species,Nando Michelin Trio,Duende,2007-08-14,0.0,372120.0,1,0,0,0,0,0,0,0,0
Linger Awhile,Samara Joy,Linger Awhile,2022-09-16,41.0,107707.0,1,0,0,0,0,0,0,0,0
Kingdom Within,Nance Clayton,Kingdom Within,2023-02-08,10.0,180000.0,1,0,0,0,0,0,0,0,0
Kingdom (feat. Naomi Raine & Chandler Moore),Maverick City Music,Kingdom Book One (Deluxe),2022-07-22,37.0,565833.0,1,0,0,0,0,0,0,0,0
"Breathe (feat. Chandler Moore, Jonathan McReynolds, DOE & Mav City Gospel Choir) - Studio Version",Maverick City Music,Breathe - EP,2022-02-11,50.0,326500.0,1,0,0,0,0,0,0,0,0
Un Verano Sin Ti,Bad Bunny,Un Verano Sin Ti,2022-05-06,77.0,148143.0,1,0,0,0,0,0,0,0,0
MOTOMAMI,ROSALÍA,MOTOMAMI,2022-03-18,63.0,61346.0,1,0,0,0,0,0,0,0,0
Stompin' Ground,Aaron Neville,Stompin' Ground,2022-01-28,30.0,271594.0,1,0,0,0,0,0,0,0,0
Made Up Mind,Bonnie Raitt,Just Like That...,2022-04-22,49.0,220880.0,1,0,0,0,0,0,0,0,1
You and Me On The Rock (In The Canyon Haze),Brandi Carlile,In These Silent Days (Deluxe Edition) In The Canyon Haze,2022-09-28,45.0,257853.0,1,0,0,0,0,0,0,0,1
Crooked Tree,Molly Tuttle & Golden Highway,Crooked Tree,2022-04-01,45.0,232827.0,1,0,0,0,0,0,0,0,0
Packing Up Getting Ready to Go,Taj Mahal,GET ON BOARD,2022-04-22,22.0,169786.0,1,0,0,1,0,0,0,0,1
You Better Mind (Live),Ranky Tanky,Live at the 2022 New Orleans Jazz & Heritage Festival,2022-12-14,22.0,235320.0,1,0,0,0,0,0,0,0,0
The Kalling,Kabaka Pyramid,The Kalling,2022-09-16,44.0,213977.0,1,0,0,0,0,0,0,0,0
Sakura,Masa Takumi,Sakura,2022-09-01,38.0,254750.0,1,0,0,0,0,0,0,0,0
The Word is Love,Alphabet Rockers,The Movement,2022-09-09,9.0,209781.0,1,0,0,0,0,0,0,0,0
Pass The Plate,J. Ivy,The Poet Who Sat By The Door,2022-09-29,8.0,209160.0,1,0,0,0,0,0,0,0,0
